file,expected_sha256,byte_size,status
# ===========================================================================
# FINAL INPUT MANIFEST — PDAC evidence-integration audit
# Derived from repository/manifest/input_manifest.json.
#
# HONESTY RULE: raw third-party inputs are NOT redistributed in this repo
# (see input_manifest.json -> data_redistribution_statement and README.md).
# All raw inputs below are marked "missing (not redistributed per licence)".
# The precomputed results JSONs and figure outputs ARE present in the repo and
# are marked "present" (sha256 re-verified against the actual files on 2026-08-26).
# NO numbers in this submission were regenerated here; they are carried from the
# precomputed result JSONs. The pipeline in run_final_rerun.sh
# can execute a clean rerun once the released inputs are supplied.
# ===========================================================================
evidence_layers_v11.json,a4cb1a84574e290b51a6627f947fcf45306ecdbd7fb1fdda3073a4761bf35499,11443183,missing (not redistributed per licence)
depmap_pdac_dependency.json,13f629950a0052aa247eb7d494f54e43acb94b3d049ad145326e76db99e3daa2,1813670,missing (not redistributed per licence)
depmap_crc_dependency.json,5043490693a25a02d8612618b8992df8ceff41d66ca08b9f2b78b32731dc19ce,1814400,missing (not redistributed per licence)
e5_clinical_targets.json,9a525599a77393e2eb11d41b1c5cafa0dfabd8d353ee4506590e7c8f11ec4c30,3312,missing (not redistributed per licence)
pdac_selective_dependency_v11.json,cdf085e26404f077c995244cac667eebe2a2a696c77e4e1670da1ecdd2a7e6d3,5294625,missing (not redistributed per licence)
GDSC_IC50.csv,9dad3b047e20b59b88d88ba00f64ef53e7dcfc11e7cceab19d9e79ae746105bb,2058983,missing (not redistributed per licence)
Cell_lines_annotations_20181226.txt,77648d1cada2f325ba2c049a5fb5408434f73b963c8e1148fb82ba2653e469e1,335355,missing (not redistributed per licence)
GDSC_drug_list.csv,b88757dd7aa7979251832b4866ff605f716854705d49ea4cb256f794e262a74e,21781,missing (not redistributed per licence)
v17_ncs_results.json,75c57180329390208bb339b140ee25241e52abe0ac7534f965d1bae294abcfa9,85415,missing (historical frozen artefact, not redistributed; its values are preserved inside results/audit_report.json)
audit_report.json,c772c0dce5346efb61093a6dfa994be086977dffa3b0cc8d2c311b3841ea9744,9640,present
ncs_results.json,29ca38ffeff3f9169c4901a347b83bb2c594427cc919ce520eb12c591bffc57e,75695,present
sentinel_audit.json,054f345e73dd9dfbfebb528109bb1b681e50957bedea5a1812c9d59b98be0f8d,8729,present
source_data.csv,704033f27df05103fc10755690dbf7445969b593b621eac79f099fde8b061dec,9579,present
weight_space.json,71269d7a3ad672746c87e7ad8c92d403a9394f02ec45698324b72fae6de409e9,101732,present
figures/Fig1.pdf,5e31403774705d85e87118aa4372f1889f38548a3490437986d0920cf89d9e63,40770,present
figures/Fig1.png,1b29d6275ec96fb9733f432358ae59e9cfd07ac8ffac9d9d1d5fd1960d66875d,174486,present
figures/Fig2.pdf,3aded302cd0ac445bc695b5b5c4ce42d04ea93de149b67b300f12cb7b590741f,42163,present
figures/Fig2.png,c9bce78374f65700c067ddded52f276bd6d39098b4a1926814612aa8b4e4411a,273466,present
figures/Fig3.pdf,f6643625f80ebcd664a5584be670dbc2c5edcfffc4a09860540a7e25e1215619,39630,present
figures/Fig3.png,a4d36f9fc5c52a044fbde3140475c0a71696f5c1201ce199b4352763d007eaaf,107895,present
figures/Fig4.pdf,4a5ba6e40b7026b4ec4a3b01d8ff0c219fde5fa07e9433bf2efc5f17fe0a57c8,45657,present
figures/Fig4.png,9879d51006494a2da40d2c637267e1c195713670782fa491cd22f2707acb3afe,215155,present
figures/Fig5.pdf,d9287261044cf31a9938ef0507fc5799b93822ff5270a01a825b2689e6418281,46584,present
figures/Fig5.png,cc13af7073382dd4f28a1e6bd809c430d5089db6451710f51d03eaaaa30cb041,225879,present
figures/Fig6.pdf,57d25688fa79a92be5d26edf5124ba1a0f0217233a653b9aba55361f7c4d1f3e,38362,present
figures/Fig6.png,487c1668e563ed9721a5dd96dd1748c91309e885a27c81dbeaa57f44f89569ed,216968,present
